,County,Year,FIPS,WBGT Days above 85,WBGT Hours above 85,WBGT Days above 90,WBGT Hours above 90,WBGT Av. 24h high JJA,WBGT Av. 24h low JJA
668,"Pike County, IL",2018,17149.0,0,0,0,0,77.34552221032976,66.19874814719384
669,"Pike County, IL",2019,17149.0,1,1,0,0,75.78744434825693,64.78394114862334
670,"Pike County, IL",2020,17149.0,0,0,0,0,76.77159982863023,65.11721640757692
671,"Pike County, IL",2021,17149.0,0,0,0,0,77.13071863675202,66.21155218207012
672,"Pike County, IL",2022,17149.0,3,0,0,0,76.87138233759273,65.30701592906357
673,"Pike County, IL",2023,17149.0,7,0,0,0,76.06417855905218,64.30340634222425
674,"Pike County, IL",2024,17149.0,3,0,0,0,76.15936912853294,64.94204628569119
675,"Pope County, IL",2016,17151.0,1,1,0,0,79.29867721473418,70.23397799698047
676,"Pope County, IL",2017,17151.0,0,0,0,0,76.57106518007394,66.41010668029675
677,"Pope County, IL",2018,17151.0,1,3,0,0,78.3877852487667,68.79995649015832
678,"Pope County, IL",2019,17151.0,1,1,0,0,77.16739963467953,67.11978412134256
679,"Pope County, IL",2020,17151.0,1,1,0,0,77.69866311553214,68.03182043724601
680,"Pope County, IL",2021,17151.0,0,0,0,0,77.91706394399485,68.40437659441504
681,"Pope County, IL",2022,17151.0,3,0,0,0,78.17813373852744,68.03199285815745
682,"Pope County, IL",2023,17151.0,6,0,0,0,77.26284617038637,66.80130880897876
683,"Pope County, IL",2024,17151.0,0,0,0,0,77.73829461287782,66.88659765154149
684,"Pulaski County, IL",2016,17153.0,1,3,0,0,79.75551422479258,70.97281831322785
685,"Pulaski County, IL",2017,17153.0,0,0,0,0,76.91650612767641,67.06926910679773
686,"Pulaski County, IL",2018,17153.0,1,5,0,0,78.69820815230668,69.49210231779878
687,"Pulaski County, IL",2019,17153.0,1,1,0,0,77.44010837038104,67.8159920094484
688,"Pulaski County, IL",2020,17153.0,1,2,0,0,77.98284538531124,68.74896811138623
689,"Pulaski County, IL",2021,17153.0,0,0,0,0,78.14121834876367,69.0116892113665
690,"Pulaski County, IL",2022,17153.0,6,0,0,0,78.61773707417214,68.72508595387228
691,"Pulaski County, IL",2023,17153.0,8,0,0,0,77.85721669464448,67.62343235204168
692,"Pulaski County, IL",2024,17153.0,3,0,0,0,78.10579980058397,67.81202133677473
693,"Putnam County, IL",2016,17155.0,2,4,0,0,75.51634953007836,64.44522782583972
